route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
931,ILE,931,CHR B CALMETTE - LP BOILLY,,3,,C8C8C8,000000
933,ILE,933,LA BASSÉE - BEAUCAMPS,,3,,C8C8C8,000000
940,ILE,940,COMINES - CROIX BLANCHE,,3,,C8C8C8,000000
941,ILE,941,BOUSBEQUES - HALLUIN COLBRAS,,3,,C8C8C8,000000
942,ILE,942,BOUBECQUES - MATISSE,,3,,C8C8C8,000000
943,ILE,943,LINSELLES - PH DE COMMYNES,,3,,C8C8C8,000000
945,ILE,945,TOUFFLERS/LANNOY - ST JOSEPH,,3,,C8C8C8,000000
66,ILE,66,4 CANTONS - FOREST SUR M /LEERS,,3,,F39200,FFFFFF
75,ILE,75,COMINES / LOMME ST PHILIBERT,,3,,95C11F,FFFFFF
82,ILE,82,ARMENTIERES/HALLUIN-TOURCOING PONT DE N.,,3,,F39200,FFFFFF
L4,ILE,L4,HALLUIN GOUNOD <> LEERS CENTRE CCIAL,,3,,004F9F,FFFFFF
909,ILE,909,WAMBRECHIES VERLAINE - COLLEGE DEBEYRE,,3,,C8C8C8,000000
944,ILE,944,HALLUIN/LINSELLES - COMINES BELGIQUE,,3,,C8C8C8,000000
ME2,ILE,M2,SAINT PHILIBERT <> C.H. DRON,,1,,E30613,FFFFFF
CITA,ILE,CITA,GUSTAVE DRON - RESISTANTS,,3,,E6007E,FFFFFF
50,ILE,50,MARCQ COLLÈGE <> GRAND SAINT ANDRÉ,,3,,F9B000,000000
76,ILE,76,QUESNOY/LILLE BAYARD/LOMME ST PHILIBERT,,3,,8A1002,FFFFFF
Z2,ILE,Z2,LESQUIN CRT / LILLE PORTE DE DOUAI,,3,,F59C00,FFFFFF
Z4,ILE,Z4,TOURCOING GARE - BONDUES RAVENNES,,3,,D40A11,FFFFFF
72,ILE,72,BAISIEUX - 4 CANTONS,,3,,000000,FFFFFF
73,ILE,73,BAISIEUX - GRUSON - PONT DE BOIS,,3,,000000,FFFFFF
33A,ILE,33A,GARE JEAN LEBAS  <> CROIX BLANCHE,,3,,000000,FFFFFF
955,ILE,955,TEMPLEMARS / WATTIGNIES RÉPUBLIQUE,,3,,000000,FFFFFF
