stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ROY001,Pont Royal,AVENUE DU BOIS 59130 LAMBERSART - APRÈS LE CAREFOUR RUE DE LILLE,50.648556,3.045699,1,,0,8018,,0
RDD002,Rte Deulemont,ROUTE DE DEULEMONT 59560 WARNETON - A L'OPP N°40 USINE FLANDRIA,50.744548,2.946162,1,,0,5828,,0
ARO002,Av. De  Roubaix,AVENUE DE ROUBAIX 59155 FACHES THUMESNIL - A L'OPPOSÉ DU N°2,50.596941,3.07014,1,,0,5544,,0
CHE001,Chemin De Sainghin,RUE D'YPRES 59237 VERLINGHEM - A L'OPP D'UN CHAMP,50.700138,3.010967,1,,0,1896,,0
CFA001,Cite Faucheur,RUE DU PONT ROUGE 59236 FRELINGHIEN - A L'OPP DU N° 1450,50.724254,2.939951,1,,0,5807,,0
BTM004,Boutemy,RUE JEAN BAPTISTE LEBAS 59390 LANNOY - 9,50.668731,3.210912,1,,0,683,,0
ARY002,La Carnoy,RUE DE LA CARNOY 59130 LAMBERSART - A L'OPP MAISON DE LA MUSIQUE,50.651003,3.022143,1,,0,3952,,0
RDJ002,Rue De Jemmapes,AVENUE DE PARIS 59155 FACHES THUMESNIL - AL'OPP DU N° 70,50.594764,3.075562,1,,0,345,,0
MHM002,Mairie,RUE DU GENERAL LECLERC 59510 HEM - A L'OPPOSE DU N° 44,50.654197,3.182846,1,,0,514,,0
LCL002,Clouet,RUE DU BOURG 59130 LAMBERSART - AU DROIT DU N°230,50.652249,3.030301,1,,0,5930,,0
RDD001,Rte Deulemont,ROUTE DE DEULEMONT 59560 WARNETON - AU DROIT DE L'USINE FLANDRIA,50.744469,2.945709,1,,0,5828,,0
JRO001,Jean Rostand,RUE HENRY BARBUSSE 59155 FACHES THUMESNIL - À DROITE DU N°96,50.58615,3.080465,1,,0,5545,,0
MQL002,Mairie,RUE LEON BOCQUET 59274 MARQUILLIES - A L'OPPOSE DU N°50,50.558412,2.870272,1,,0,5685,,0
RDG001,Rue De Grenoble,AVENUE DE PARIS 59155 FACHES THUMESNIL -,50.595148,3.074341,1,,0,5552,,0
AMP002,Ampere,RUE DE LA LIONDERIE 59510 HEM - AU DROIT DU N° 42,50.661824,3.192882,1,,0,519,,0
FAE002,Eglise,RUE DE FLANDRES 59155 FACHES THUMESNIL - À L'OPPOSÉ DU N°1,50.588437,3.077469,1,,0,363,,0
LMQ001,Moulin De Lesquin,RUE DOUAI 59155 FACHES THUMESNIL - À L'OPPOSÉ DU N°33,50.587132,3.087215,1,,0,347,,0
